id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9138664,Private Lg Room 15 min to Manhattan,47594947,Iris,Queens,Sunnyside,40.74271,-73.92493,Private room,74,2,6,2019-05-26,0.13,1,5
31444015,"TIME SQUARE CHARMING ONE BED IN HELL'S KITCHEN,NYC",8523790,Johlex,Manhattan,Hell's Kitchen,40.76682,-73.98878,Entire home/apt,170,3,0,,,1,188
8741020,Voted #1 Location Quintessential 1BR W Village Apt,45854238,John,Manhattan,West Village,40.73631,-74.00610999999999,Entire home/apt,245,3,51,2018-09-19,1.12,1,0
34602077,Spacious 1 bedroom apartment 15min from Manhattan,261055465,Regan,Queens,Astoria,40.76424,-73.92351,Entire home/apt,125,3,1,2019-05-24,0.65,1,13
23203149,Big beautiful bedroom in huge Bushwick apartment,143460,Megan,Brooklyn,Bushwick,40.69839,-73.92044,Private room,65,2,8,2019-06-23,0.52,2,8
4402805,LRG 2br BKLYN APT CLOSE TO TRAINS AND PARK,22807362,Jenny,Brooklyn,Prospect-Lefferts Gardens,40.66025,-73.9627,Entire home/apt,120,3,3,2018-08-28,0.05,1,16
30070126,✩Prime Renovated 1/1 Apartment in Upper East Side✩,4968673,Sean,Manhattan,Upper East Side,40.76831,-73.95929,Entire home/apt,200,5,2,2019-05-26,0.68,1,71
34231172,Fully renovated brick house floor in Brooklyn,59642348,Kevin,Brooklyn,Sunset Park,40.6455,-74.01262,Entire home/apt,95,1,9,2019-07-08,9.0,1,106
5856760,"Renovated 1BR in exciting, convenient area",29408349,Chad,Manhattan,Chinatown,40.7149,-73.99976,Entire home/apt,179,5,7,2017-04-18,0.14,1,0
7929441,Beautiful Loft w/ Waterfront View!,1453898,Anthony,Brooklyn,Williamsburg,40.71268,-73.96676,Private room,105,2,232,2019-06-19,5.0,3,64
35468220,Forest Hills Charming 1 bdrm apartment!,7599704,Sasha,Queens,Forest Hills,40.72085,-73.84088,Entire home/apt,75,1,0,,,1,7
18340498,Private bedroom and bathroom near Prospect Park,33723491,Suzzanne,Brooklyn,Flatbush,40.65274,-73.95848000000001,Private room,39,2,7,2017-09-29,0.27,1,0
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,2019-06-29,1.05,5,280
15982208,"Huge Yellow Room- AC, 20 Min to Manhattan",103841276,Cristina And Sasha,Brooklyn,Bushwick,40.69891,-73.93072,Private room,45,1,158,2019-06-25,4.93,2,201
14994076,Dominiques NYC 4Bedrm crashpad**Stay here**metro,310670,Vie,Bronx,Eastchester,40.88207,-73.83538,Entire home/apt,299,2,2,2019-05-21,0.18,13,358
7126110,Sunny East Village Bedroom,37325763,Noah,Manhattan,East Village,40.72393,-73.98271,Private room,100,1,0,,,1,0
35005489,Exquisite Park Slope Paradise,229604812,Jake,Brooklyn,Windsor Terrace,40.65863,-73.98495,Entire home/apt,300,3,0,,,1,335
22702906,Cozy Brownstone Brooklyn Studio Near Subway!!,6291509,Daniel,Brooklyn,Boerum Hill,40.6876,-73.98472,Entire home/apt,160,4,4,2018-09-26,0.3,1,14
25015496,"5min from JFK airport, Train, Casino,  Racetrack",189108951,Doris,Queens,South Ozone Park,40.669540000000005,-73.80601,Entire home/apt,93,2,48,2019-06-22,3.47,1,316
7074488,"Bilevel Penthouse: Park, City Views",43772,David,Brooklyn,Greenpoint,40.72074,-73.94740999999999,Entire home/apt,272,3,3,2015-08-31,0.06,1,0
34432701,THE STUDIO LODGE NYC,20012998,Víctor,Brooklyn,Bedford-Stuyvesant,40.68087,-73.92061,Private room,60,3,3,2019-06-30,2.31,2,322
15971308,Private Room with Private Bathroom in Harlem,1301576,Siobhan,Manhattan,East Harlem,40.80604,-73.94233,Private room,85,3,97,2019-06-24,3.07,2,14
22078755,Bohemian East Village Apartment,50292311,Brian,Manhattan,East Village,40.72837,-73.98546,Entire home/apt,250,4,17,2019-05-28,1.1,1,5
27454297,Brooklyn Style Hostel RM4 #1,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,40.69322,-73.95519,Shared room,36,3,12,2019-06-19,1.06,34,361
19382104,Stylish Share With Exposed Brick In Brooklyn,25064774,Eden,Brooklyn,Bedford-Stuyvesant,40.68936,-73.94189,Private room,33,14,1,2017-07-16,0.04,1,0
8953404,LARGE BEDROOM CLOSE TO MANHATTAN,45416627,Lolita,Queens,Astoria,40.76801,-73.92501,Private room,55,1,78,2019-06-20,1.78,9,311
16323239,Spacious 2 BDR - Hell's Kitchen/Times Square,2559886,Sy,Manhattan,Hell's Kitchen,40.76284,-73.98849,Entire home/apt,130,4,2,2017-11-30,0.07,1,0
22064197,Upper West Side Central Park apartment,20153029,Tal,Manhattan,Upper West Side,40.77244,-73.98043,Entire home/apt,190,7,0,,,1,0
21786337,Master Bedroom in Harlem - 20 min to Midtown!,64837680,Andrea,Manhattan,Harlem,40.827740000000006,-73.94609,Private room,60,1,1,2018-01-01,0.05,1,0
10166820,Brooklyn apartment 20 min to Manhattan,486147,Christopher,Brooklyn,Park Slope,40.67174,-73.98616,Private room,63,30,17,2018-09-01,0.44,1,73
15894199,Crown Heights Duplex Apt.,103087934,Martha,Brooklyn,Crown Heights,40.67567,-73.93744000000001,Entire home/apt,158,4,61,2019-05-31,1.92,1,264
31670237,Dominiques Homesharing  room NYC* metro*quiet*safe,310670,Vie,Bronx,Eastchester,40.88009,-73.83456,Private room,68,2,0,,,13,364
26125349,Beautiful apartment in Greenpoint,502897,Malu,Brooklyn,Greenpoint,40.72791,-73.95689,Entire home/apt,150,5,1,2018-06-20,0.08,1,0
15928635,"Sunny, Cozy, Private Room In The Heart of Bushwick",278393,Dylana,Brooklyn,Bushwick,40.69906,-73.92430999999999,Private room,40,2,96,2019-06-24,2.99,3,78
18459547,Dumbo Penthouse Loft with Outdoor Spaces & Views,1349266,Adam,Brooklyn,Vinegar Hill,40.70369,-73.98306,Entire home/apt,186,30,1,2019-06-11,1.0,1,1
22546236,SJU大学,133825714,Peng,Queens,Flushing,40.72465,-73.80162,Shared room,30,1,0,,,1,0
29614352,Steps from Times Square and Subway!,9489892,Serim,Manhattan,Hell's Kitchen,40.76186,-73.98850999999999,Private room,99,1,15,2019-06-16,1.81,1,0
19967657,Sanjay's Art Lab - Prime LES - Quintessential NYC,16549535,Sanjay,Manhattan,Lower East Side,40.71624,-73.98935,Entire home/apt,50,1,6,2018-09-28,0.28,1,0
13042051,Modern Williamsburg Condo near restaurants + metro,43339525,Jeff,Brooklyn,Williamsburg,40.7163,-73.94394,Entire home/apt,178,2,22,2018-10-21,0.59,1,3
13740793,Beautiful Elevator Bldg near Columbia University,76590834,Omar,Manhattan,Upper West Side,40.80165,-73.96497,Private room,65,1,0,,,1,0
33869355,"Cozy big Apt, Manhattan, Columbia, Central Park",163365183,Sijia,Manhattan,Morningside Heights,40.81153,-73.96112,Shared room,34,5,0,,,1,14
19890678,Sunny room with a Balcony in Prospect Heights,513517,Tak,Brooklyn,Crown Heights,40.67567,-73.95779,Private room,59,2,1,2018-05-25,0.07,1,0
24792114,Sunny apartment,3405917,Juliana,Queens,Sunnyside,40.74597,-73.91434,Private room,55,3,26,2019-06-17,1.82,1,1
7788880,"Home 4 Medical Professionals- The ""Camphor""",26377263,Stat,Brooklyn,Bushwick,40.70387,-73.91665,Private room,47,30,4,2018-08-18,0.13,43,144
6130145,Moma Casanova. New Additions!,29871437,Ester,Queens,Sunnyside,40.74315,-73.91733,Private room,78,3,113,2019-07-01,2.23,1,285
1300216,1 Bdrm Apt  2 blocks to subway 15 mins to Midtown,2135948,Giovanni,Queens,Astoria,40.76788,-73.92334,Entire home/apt,100,1,102,2019-07-03,1.73,1,33
34313601,Large 1 BR *** Featured on This Old House,29659188,Kevin And Karen,Brooklyn,Prospect Heights,40.6774,-73.96864000000001,Entire home/apt,279,2,11,2019-07-06,5.69,1,112
3565617,Modern sunny one bed apt,17953139,Oisin,Manhattan,Lower East Side,40.7211,-73.98397,Entire home/apt,175,7,9,2018-12-07,0.27,1,255
5271997,NEW YORK CITY!!! LOCATION LOCATION!,6716330,Chris,Manhattan,Upper West Side,40.77311,-73.98606,Private room,125,3,124,2019-06-24,2.32,3,347
27633987,One bedroom apt in a brownstone - Manhattan,208531763,Féven,Manhattan,Harlem,40.81915,-73.9425,Entire home/apt,112,4,9,2019-06-22,1.04,1,89
3642801,"Cozy Brooklyn  studio, 30 min to Manhattan",2052361,Katya,Brooklyn,Prospect-Lefferts Gardens,40.6553,-73.95815999999999,Entire home/apt,80,3,24,2019-06-23,0.4,3,19
